id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,tags,description,stats_payantes,stats_gratuites
5626003,,"La Cohue, Musée des Beaux-Arts de vannes (+ espace d'expositions)",,,,VANNES,France,fr,open,,,,,,2013,label:musee de france,,4625,210046
1803302,64598357.0,Musée des Arts Décoratifs,,Rue de l'Hôtel Lallemant,18000,Bourges,France,fr,open,47.0850865,2.3983016387544134,,,,2013,label:musee de france,,0,21582
1803303,64604953.0,Musée du Berry,4,Rue des Arènes,18000,Bourges,France,fr,open,47.08530015,2.39267207904075,,,,2013,label:musee de france,,0,13613
2808504,255603.0,Conservatoire du Machinisme et des Pratiques Agricoles,,,28300,Mainvilliers,France,fr,open,48.4489382,1.4580047,,,,2013,label:musee de france,,5128,44280
2808801,,Musée des Beaux-Arts et d'Histoire Naturelle,,,,CHATEAUDUN,France,fr,open,,,,,,2013,label:musee de france,,3339,5066
3601801,214892.0,Musée Ornithologique (Ecomusée de la Brenne),,Cour du Cheval Blanc,77300,Fontainebleau,France,fr,open,48.4023346,2.7005387366907625,,,,2013,label:musee de france,,1529,708
3620001,275239079.0,Musée Archéologique d'Argentomagus,,Impasse du Clos des Mersans,36200,Saint-Marcel,France,fr,open,46.600498,1.5163171900000003,,,,2013,label:musee de france,,7858,6455
3700302,62782286.0,Musée de la poste,2,Rue du Clos Lucé,37400,Amboise,France,fr,closed,47.41032365,0.9921089543099332,,,,2013,label:musee de france,,0,0
3700301,1517051946.0,Musée de l'Hôtel des Communes,,Rue François 1er,37400,Amboise,France,fr,open,47.4131973,0.9839918,,,,2013,label:musee de france,,0,7887
3726101,38576800.0,Muséum d'Histoire Naturelle,3,Rue du Président Merville,37000,Tours,France,fr,open,47.39461145,0.6836901302839116,,,,2013,label:musee de france,,8303,18367
3726103,38546705.0,Musée de l'Hôtel Goüin,25,Rue du Commerce,37000,Tours,France,fr,closed,47.3953091,0.6846798555262408,,,,2013,label:musee de france,,0,0
4101801,7170311044.0,Château Musées de Blois,,Petits Degrés du Château,41000,Blois,France,fr,open,47.5857788,1.3313739,,,,2013,label:musee de france,,233630,36932
0810502,,Maison des Ailleurs - Arthur Rimbaud (Annexe musée Rimbaud),,,,CHARLEVILLE-MEZIERES,France,fr,open,,,,,,2013,label:musee de france,,5195,2923
0810503,1765207774.0,Musée de l'Ardenne,,Les Arcades,08000,Charleville-Mézières,France,fr,open,49.77272,4.7214458,,,,2013,label:musee de france,,5091,41976
0819001,5206948616.0,Musée de Givet,,Petite Place,08600,Givet,France,fr,closed,50.1354162,4.8239007,,,,2013,label:musee de france,,0,0
1038702,73124719.0,Musée Vauluisant - Musée Historique de Troyes et de la Champagne,,Rue de la Crosse,10000,Troyes,France,fr,open,48.29995,4.082291342005172,,,,2013,label:musee de france,,0,0
5212102,6620521651.0,Musée de l'Affiche,1,Place Émile Goguenheim,52000,Chaumont,France,fr,closed,48.1105299,5.1354361,,,,2013,label:musee de france,,0,0
5145405,7030744259.0,Musée Hôtel le Vergeur,36,Place du Forum,51100,Reims,France,fr,open,49.2571018,4.0341284,,,,2013,label:musee de france,,9527,414
2B00901,,Musée d'archéologie d'Aleria - Jérôme Carcopino,,,,ALERIA,France,fr,open,,,,,,2013,label:musee de france,,30633,25173
2505602,53757083.0,Musée du Temps,,Rue Victor Hugo,25000,Besançon,France,fr,open,47.2346134,6.029035561950042,,,,2013,label:musee de france,,5026,33934
2543401,87617807.0,Musée-Maison Natale Gustave Courbet,1,Rue de la Froidière,25290,Ornans,France,fr,open,47.1050435,6.147763179625452,,,,2013,label:musee de france,,49772,34093
3901301,121753643.0,Musée Sarret de Grozon,,Grande Rue,39600,Arbois,France,fr,open,46.902592,5.7742849457831325,,,,2013,label:musee de france,,958,1324
3919801,946483217.0,Musée des Beaux-Arts,,Rue des Arènes,39100,Dole,France,fr,open,47.0896386,5.4891469,,,,2013,label:musee de france,,0,21681
3904101,121580330.0,Musée de l'Artisanat Jurassien,,Rue de l'Abbaye,39210,Château-Chalon,France,fr,open,46.753866,5.624295731890332,,,,2013,label:musee de france,,0,18559
9711201,6042462812.0,Ecomusée de Marie-Galante,,Route de Grand-Bourg à Capesterre,97140,Grand-Bourg,France,fr,closed,15.8784483,-61.2995603,,,,2013,label:musee de france,,0,0
9106401,7035962879.0,Musée Français de la Photographie,,Rue de Paris,91570,Bièvres,France,fr,open,48.762826,2.225102,,,,2013,label:musee de france,,1579,36712
9207301,70961327.0,MUS - Musée d'Histoire Urbaine et Sociale,1,Rue Merlin de Thionville,92150,Suresnes,France,fr,open,48.868207600000005,2.221619823857867,,,,2013,label:musee de france,,554,5646
7510405,254033221.0,Maison de Victor Hugo,6,Place des Vosges,75004,Paris,France,fr,open,48.8548144,2.3661103,,,,2013,label:musee de france,,30252,129906
7510403,159896046.0,Crypte Archéologique du Parvis Notre-Dame,,Parvis Notre-Dame - Place Jean-Paul II,75004,Paris,France,fr,open,48.85354265,2.348198116376467,,,,2013,label:musee de france,,68662,154737
7511402,493870538.0,Les Catacombes,1,Avenue du Colonel Henri Rol Tanguy,75014,Paris,France,fr,open,48.8337437,2.3322959,,,,2013,label:musee de france,,265907,45050
7510808,,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",,,,PARIS,France,fr,open,,,,,,2013,label:musee de france,,164506,364466
7510608,153776401.0,Musée Zadkine,,Passage Commun B6,75006,Paris,France,fr,open,48.84281085,2.333799238079097,,,,2013,label:musee de france,,11928,28396
7511606,5918699678.0,Musée des Monuments Français,,Rue Joliot-Curie,91190,Le Moulon,France,fr,open,48.7094092,2.1666145,,,,2013,label:musee de france,,197884,221522
7510103,,Etablissement public du musée d'Orsay et de l'Orangerie - Musée de l'Orangerie,,,,PARIS,France,fr,open,,,,,,2013,label:musee de france,,627768,285041
7511615,79219308.0,Musée d'Art Moderne de la ville de Paris,,Rue Gaston de Saint-Paul,75116,Paris,France,fr,open,48.8643133,2.2978602225671843,,,,2013,label:musee de france,,367548,327828
7511001,,Musée de la Publicité (Union Centrale des Arts Décoratifs),,,,PARIS,France,fr,open,,,,,,2013,label:musee de france,,0,0
7713201,373767052.0,Maison Natale de Louis Braille,,Rue Louis Braille,77700,Coupvray,France,fr,open,48.8945027,2.792033637344032,,,,2013,label:musee de france,,4439,0
7728401,112061664.0,Musée Bossuet,5,Place Charles De Gaulle,77100,Meaux,France,fr,open,48.960741,2.8784914364406817,,,,2013,label:musee de france,,5028,4518
7731601,126120236.0,Musée Municipal,4,Place de Samois,,Moret-Loing-et-Orvanne,France,fr,open,48.373796,2.8149875,,,,2013,label:musee de france,,3776,7108
7740501,,Musée des Pays de Seine-et-Marne,,,,SAINT-CYR-SUR-MORIN,France,fr,open,,,,,,2013,label:musee de france,,3089,3949
9403401,7676712.0,Ecomusée du Val de Bièvre,,,41120,Monthou-sur-Bièvre,France,fr,open,47.4364694,1.3750271,,,,2013,label:musee de france,,0,10732
9405201,1788374144.0,Musée de Nogent-Sur-Marne,36,Boulevard Gallieni,94130,Nogent-sur-Marne,France,fr,open,48.840397,2.4849183,,,,2013,label:musee de france,,512,5604
9550001,43971811.0,Musée Tavet Delacour,,Rue Lemercier,95300,Pontoise,France,fr,open,49.0511035,2.0996586365287904,,,,2013,label:musee de france,,2841,3495
7851702,130921984.0,Musée Rambolitrain,,Avenue du Maréchal Foch,78120,Rambouillet,France,fr,open,48.6460441,1.8241725980003551,,,,2013,label:musee de france,,15220,2736
7855102,,Musée Municipal - Collections Paul et André Véra,,,,SAINT-GERMAIN-EN-LAYE,France,fr,open,,,,,,2013,label:musee de france,,0,2176
7855101,154883691.0,Musée Départemental Maurice Denis,2bis,Rue Maurice Denis,78100,Saint-Germain-en-Laye,France,fr,open,48.8925939,2.0868889919163918,,,,2013,label:musee de france,,6228,22127
9741101,146919869.0,Musée Départemental de la Réunion - Musée Léon Dierx,,Rue Sainte Marie,97400,Saint-Denis,France,fr,open,-20.883840050000003,55.450058317623416,,,,2013,label:musee de france,,2528,17959
9743501,298835000.0,Musée Historique de Villèle,,Rue Mahatma Gandhi,97435,Villèle,France,fr,open,-21.0564195,55.263592665368016,,,,2013,label:musee de france,,17113,26445
9741401,2338401230.0,Musée des Arts Décoratifs de l’Océan indien (MADOI),,Chemin Maison Rouge,97450,Plateau Goyaves,France,fr,open,-21.266983,55.4113864,,,,2013,label:musee de france,,9879,1412
3018904,39707615.0,Musée du Vieux Nîmes,,Place Abbé Pierre,,Nîmes,France,fr,open,43.8379184,4.360406598453169,,,,2013,label:musee de france,,2103,17501
3018903,1754343.0,Musée Archéologique,,Rue de la Grille,30300,Beaucaire,France,fr,open,43.8071045,4.645857409267913,,,,2013,label:musee de france,,0,59567
3018901,1754343.0,Musée d'Histoire Naturelle et de Préhistoire,,Rue de la Grille,30300,Beaucaire,France,fr,open,43.8071045,4.645857409267913,,,,2013,label:musee de france,,0,53809
3020201,,Musée Paul Raymond,,,,PONT-SAINT-ESPRIT,France,fr,open,,,,,,2013,label:musee de france,,0,1680
3403202,1474240591.0,Musée du Biterrois,,Rampe du 96e Régiment d'Infanterie,34500,Béziers,France,fr,open,43.3382478,3.2149323,,,,2013,label:musee de france,,1904,11925
3415801,2622894330.0,Musée Archéologique,,Place du Monument,34210,Minerve,France,fr,open,43.3543868,2.7460475,,,,2013,label:musee de france,,4118,0
3430101,2244412926.0,Musée Paul Valéry,,Rue François Desnoyer,34200,Sète,France,fr,open,43.3953827,3.6906637,,,,2013,label:musee de france,,52325,19038
4811601,614381321.0,Ecomusée du Mont Lozère,,D 20,48220,Florac,France,fr,open,44.3655806,3.7463973,,,,2013,label:musee de france,,3633,477
